차종,공급처,사출품명,컬러,단가,품목구분,제작품목2,제작품목2,중량(g),원재료명,원재료 컬러
A3,사내,BCALL KNOB,WHITE,,,HIGH B-CALL KNOB 6PS 레이저 인쇄,HIGH B-CALL KNOB AZ3 레이저 인쇄,,,
A3,사내,ECALL COVER (RED),RED,,,COVER [EC] 6PS 레이저인쇄,COVER [EC] AZ3 레이저인쇄,,,
A3,사내,HIGH DOOR KNOB,WHITE,,,HIGH DOOR KNOB 6PS 레이저 인쇄,HIGH DOOR KNOB AZ3 레이저 인쇄,,,
A3,사내,HIGH ROOM KNOB,WHITE,,,HIGH ROOM KNOB 6PS 레이저 인쇄,HIGH ROOM KNOB AZ3 레이저 인쇄,,,
A3,사내,LENS HIGH (투명),CLEAR,,,LENS [HIGH] UV코팅,,,,
A3,사내,LOW DOOR KNOB,WHITE,,,KNOB [DOOR LOW] 6PS 레이저인쇄,KNOB [DOOR LOW] AZ3 레이저인쇄,,,
A3,사내,LOW ROOM KNOB,WHITE,,,KNOB [ROOM LOW] 6PS 레이저인쇄,KNOB [ROOM LOW] AZ3 레이저인쇄,,,
A3,사내,PAO COVER (WHITE),WHITE,,,COVER [PAO] 6PS 레이저인쇄,COVER [PAO] AZ3 레이저인쇄,,,
A3-PA,사내,HIGH BCALL KNOB,WHITE,,,KNOB-BC[HIGH] 6PS,KNOB-BC[HIGH] AZ3,,,
A3-PA,사내,HIGH DOOR KNOB,WHITE,,,KNOB-DOOR[HIGH] 6PS,KNOB-DOOR[HIGH] AZ3,,,
A3-PA,사내,HIGH ECALL COVER(RED),RED,,,A3 PA COVER [EC] 6PS 레이저인쇄,A3 PA COVER [EC] AZ3 레이저인쇄,,,
A3-PA,사내,HIGH ECALL KNOB(RED),RED,,,KNOB-ECALL (사출+레이져),,,,
A3-PA,사내,HIGH ROOM KNOB,WHITE,,,KNOB-ROOM[HIGH] 6PS,KNOB-ROOM[HIGH] AZ3,,,
A3-PA,사내,PA2 HIGH BCALL KNOB,WHITE,,,PA2 B-CALL KNOB 6PS 레이저인쇄,PA2 B-CALL KNOB AZ3 레이저인쇄,,,
