구매처,도료명,제조사,도료종류,도료사양,포장단위,매입단가,유통기한,사용용도,품목구분
로얄페인트,080F 신나(BTX-F),PPG,희석제,공용,18,75200,1년,,
로얄페인트,1440P (7000 clear 용),PPG,희석제,공용,6,,1년,,
로얄페인트,7000 CLEAR(AUTO),PPG,주제,Clear,12,159480,1년,,
로얄페인트,B/C PIANO BLACK,PPG,주제,Primer,18,350000,1년,,
로얄페인트,INTEC#100 P-PRIMER,PPG,주제,Primer,16,307200,1년,,
로얄페인트,KR-RUH-1252,PPG,경화제,공용,4,,1년,,
로얄페인트,MY#200 PRIMER BLACK,PPG,주제,Primer,16,301000,1년,,
로얄페인트,RUT-1210하도신나,PPG,희석제,공용,15,59400,1년,,
로얄페인트,SHIELDING BLACK,PPG,주제,Primer,15,240000,1년,,
로얄페인트,XPH80002,PPG,경화제,공용,4,,1년,,
성진케미칼,ECONET EZ 789U SR,ORIGIN,주제,Primer,16,930000,1년,,
성진케미칼,ECONET Z 667G GAL,ORIGIN,주제,Clear,16,1658880,1년,,
성진케미칼,ORIGIN THINNER #210,ORIGIN,희석제,공용,13,-,1년,,
성진케미칼,PLANET TINNER #55,ORIGIN,희석제,공용,13,204750,1년,,
성진케미칼,POLYHARD CR,ORIGIN,경화제,공용,4,298000,1년,,
성진케미칼,POLYHARD ECON,ORIGIN,경화제,공용,4,298000,1년,,
페인트마당,DAU#차폐 BASE BLACK,NOROO,주제,Primer,15,310150,1년,,
페인트마당,DH-230 경화제,NOROO,경화제,공용,4,,1년,,
페인트마당,DR-570희석제(BTX-FREE),NOROO,희석제,공용,18,81000,1년,,
페인트마당,DR-600(TD) 희석제,NOROO,희석제,공용,18,70200,1년,,
페인트마당,DR-705 신나,NOROO,희석제,공용,18,71000,1년,,
페인트마당,KC-BK001 3%용 원액,NOROO,안료,Clear,3,360000,1년,,
페인트마당,KC-BR003,NOROO,안료,Clear,3,450000,1년,,
페인트마당,KC-RD002 2%용 원액,NOROO,안료,clear,3,500000,1년,,
페인트마당,NAL# 100 무광 차폐 블랙,NOROO,주제,Primer,15,231000,1년,,
페인트마당,NAU-700 3HS,NOROO,주제,Color,15,280000,1년,,
페인트마당,NAU-700 6PS,NOROO,주제,Color,15,250000,1년,,
페인트마당,NAU-700 AZ3,NOROO,주제,Color,15,260000,1년,,
페인트마당,NAU-700 BC5,NOROO,주제,Color,15,250000,1년,,
페인트마당,NAU-700 ET1,NOROO,주제,Color,15,260000,1년,,
페인트마당,NAU-700 GF BLACK (WHI),NOROO,주제,Color,15,260000,1년,,
페인트마당,NAU-700 GRAY(XFD),NOROO,주제,Color,15,228000,1년,,
페인트마당,NAU-700 PEAL GREY(DYS),NOROO,주제,Color,15,228000,1년,,
페인트마당,NAU-700 STORM GREY(QAW),NOROO,주제,Color,15,280000,1년,,
페인트마당,NH-500 경화제(KC),NOROO,경화제,Clear,4,,1년,,
페인트마당,NUH#1000 KC BASE BLACK,NOROO,주제,Color,15,187500,1년,,
페인트마당,NUH#1100 BASE WHITE,NOROO,주제,Primer,15,291220,1년,,
페인트마당,NUH#3000 CR-CLEAR(KC),NOROO,주제,Clear,15,480000,1년,,
페인트마당,NUH#3000 CR-CLEAR(KC)-MATT,NOROO,주제,Clear,3,160000,1년,,
페인트마당,NUH#3000 KC TOP MATT BLACK,NOROO,주제,Color,15,299250,1년,,
페인트마당,SY#6000 EXR-CLEAR,NOROO,주제,Clear,15,195300,1년,,
한국 칼라디자인 기술㈜,1999(ANP),KCC,희석제,Primer,18,,1년,,
한국 칼라디자인 기술㈜,1KF,KCC,주제,Color,4,247800,1년,,
